geoid,geoid_str,load
060014506071,"1 (Tract 4506.07, Alameda, CA)",578.5360030770296
060014506081,"1 (Tract 4506.08, Alameda, CA)",386.84000538587543
060014506091,"1 (Tract 4506.09, Alameda, CA)",310.82400497198086
060014507011,"1 (Tract 4507.01, Alameda, CA)",268.4800042629238
060014507411,"1 (Tract 4507.41, Alameda, CA)",521.68800650835
060014507421,"1 (Tract 4507.42, Alameda, CA)",620.5760109663013
060014507431,"1 (Tract 4507.43, Alameda, CA)",274.6240063309667
060014507441,"1 (Tract 4507.44, Alameda, CA)",224.7600034713742
060014507451,"1 (Tract 4507.45, Alameda, CA)",571.280006766321
060014507461,"1 (Tract 4507.46, Alameda, CA)",1032.9920148551514
060014507501,"1 (Tract 4507.50, Alameda, CA)",645.5840038478373
060014507511,"1 (Tract 4507.51, Alameda, CA)",2801.2080291866832
060014507521,"1 (Tract 4507.52, Alameda, CA)",2651.6880284189756
060014511021,"1 (Tract 4511.02, Alameda, CA)",205.76000307798355
060014511031,"1 (Tract 4511.03, Alameda, CA)",57.43200139999391
060014511041,"1 (Tract 4511.04, Alameda, CA)",168.59999797344184
060014512011,"1 (Tract 4512.01, Alameda, CA)",242.52001090049723
060014512021,"1 (Tract 4512.02, Alameda, CA)",450.83200278282334
060014513001,"1 (Tract 4513, Alameda, CA)",327.06400352120363
060014514011,"1 (Tract 4514.01, Alameda, CA)",94.2959985136986
060014514031,"1 (Tract 4514.03, Alameda, CA)",78.71999988555908
060014514041,"1 (Tract 4514.04, Alameda, CA)",153.56000325679756
060014515011,"1 (Tract 4515.01, Alameda, CA)",192.84000089168532
060014515031,"1 (Tract 4515.03, Alameda, CA)",352.60000458955716
060014515041,"1 (Tract 4515.04, Alameda, CA)",331.5200032711025
060014515051,"1 (Tract 4515.05, Alameda, CA)",174.48000063896163
060014515061,"1 (Tract 4515.06, Alameda, CA)",369.6000050187107
060014516011,"1 (Tract 4516.01, Alameda, CA)",138.08000204563135
060014516021,"1 (Tract 4516.02, Alameda, CA)",95.12000110149384
060014517011,"1 (Tract 4517.01, Alameda, CA)",179.52000279426562
060014517031,"1 (Tract 4517.03, Alameda, CA)",196.16000299453705
060014517041,"1 (Tract 4517.04, Alameda, CA)",151.4160025596617
060019819001,"1 (Tract 9819, Alameda, CA)",0.0
060019820001,"1 (Tract 9820, Alameda, CA)",3.6
060019821001,"1 (Tract 9821, Alameda, CA)",113.37600236535069
060019832001,"1 (Tract 9832, Alameda, CA)",13.160001346468924
060014001002,"2 (Tract 4001, Alameda, CA)",203.0400043964383
060014002002,"2 (Tract 4002, Alameda, CA)",163.44000449180595
060014003002,"2 (Tract 4003, Alameda, CA)",124.56000109314921
060014004002,"2 (Tract 4004, Alameda, CA)",143.12000639438622
060014005002,"2 (Tract 4005, Alameda, CA)",38.36000046730042
060014006002,"2 (Tract 4006, Alameda, CA)",63.84000105857848
060014007002,"2 (Tract 4007, Alameda, CA)",45.04000067710877
060014008002,"2 (Tract 4008, Alameda, CA)",131.6000024318695
060014009002,"2 (Tract 4009, Alameda, CA)",67.24000315666201
060014010002,"2 (Tract 4010, Alameda, CA)",58.68000175952912
060014011002,"2 (Tract 4011, Alameda, CA)",53.44000002145768
060014012002,"2 (Tract 4012, Alameda, CA)",66.9600000858307
060014013002,"2 (Tract 4013, Alameda, CA)",-8.399999618530273
060014014002,"2 (Tract 4014, Alameda, CA)",119.80000194311145
060014015002,"2 (Tract 4015, Alameda, CA)",29.079999494552617
060014016002,"2 (Tract 4016, Alameda, CA)",20.72000036239625
060014017002,"2 (Tract 4017, Alameda, CA)",81.68000106811525
060014018002,"2 (Tract 4018, Alameda, CA)",48.12000045776368
060014022002,"2 (Tract 4022, Alameda, CA)",36.0400000333786
060014024002,"2 (Tract 4024, Alameda, CA)",53.23999980688096
060014025002,"2 (Tract 4025, Alameda, CA)",7.20000057220459
060014027002,"2 (Tract 4027, Alameda, CA)",45.2000002503395
060014028012,"2 (Tract 4028.01, Alameda, CA)",26.999999904632567
060014028022,"2 (Tract 4028.02, Alameda, CA)",21.840001586079595
060014029002,"2 (Tract 4029, Alameda, CA)",13.799999999999997
060014030002,"2 (Tract 4030, Alameda, CA)",7.000000095367433
060014031002,"2 (Tract 4031, Alameda, CA)",30.999999904632574
060014033012,"2 (Tract 4033.01, Alameda, CA)",7.200000000000003
060014033022,"2 (Tract 4033.02, Alameda, CA)",52.36000113487242
060014034012,"2 (Tract 4034.01, Alameda, CA)",14.119999217987061
060014034022,"2 (Tract 4034.02, Alameda, CA)",6.840000271797187
060014035012,"2 (Tract 4035.01, Alameda, CA)",37.040001201629636
060014035022,"2 (Tract 4035.02, Alameda, CA)",14.559998989105225
060014036002,"2 (Tract 4036, Alameda, CA)",37.39999995231628
060014037012,"2 (Tract 4037.01, Alameda, CA)",84.04000106453891
060014037022,"2 (Tract 4037.02, Alameda, CA)",98.760001027584
060014038002,"2 (Tract 4038, Alameda, CA)",85.33600150346759
060014039002,"2 (Tract 4039, Alameda, CA)",54.84000325202943
060014040002,"2 (Tract 4040, Alameda, CA)",34.88800148963929
060014041012,"2 (Tract 4041.01, Alameda, CA)",43.12000145316124
060014041022,"2 (Tract 4041.02, Alameda, CA)",31.320000129938126
060014042002,"2 (Tract 4042, Alameda, CA)",216.80000128746
060014043002,"2 (Tract 4043, Alameda, CA)",121.31200205683704
060014044002,"2 (Tract 4044, Alameda, CA)",191.6000027701256
060014045022,"2 (Tract 4045.02, Alameda, CA)",156.64000387191746
060014046002,"2 (Tract 4046, Alameda, CA)",49.1200003147125
060014047002,"2 (Tract 4047, Alameda, CA)",101.19999969005575
060014048002,"2 (Tract 4048, Alameda, CA)",50.080001509189614
060014049002,"2 (Tract 4049, Alameda, CA)",52.320000255107885
